aX,aY,aZ,gX,gY,gZ
-0.305,-0.182,1.027,30.09,54.993,4.089
-0.294,-0.179,1.015,19.47,51.88,-1.282
-0.274,-0.193,0.978,6.836,50.232,-4.089
-0.273,-0.205,0.926,-2.136,46.082,-4.456
-0.255,-0.194,0.884,-7.019,41.138,-3.052
-0.265,-0.186,0.858,-8.667,35.583,-1.77
-0.28,-0.175,0.839,-5.798,26.855,-0.732
-0.298,-0.162,0.828,-1.587,16.602,0.549
-0.297,-0.145,0.836,1.77,8.667,1.16
-0.311,-0.155,0.828,6.653,-0.549,-0.305
-0.327,-0.156,0.818,14.221,-10.376,-2.869
-0.332,-0.154,0.827,17.761,-15.015,-4.639
-0.342,-0.174,0.855,20.935,-16.479,-6.653
-0.354,-0.188,0.915,24.353,-17.944,-8.728
-0.366,-0.181,0.965,26.367,-18.677,-10.315
-0.367,-0.186,0.998,22.644,-17.151,-11.23
-0.359,-0.197,1.008,14.771,-13.733,-10.742
-0.353,-0.195,1.001,8.057,-10.925,-8.972
-0.35,-0.185,0.985,1.831,-8.423,-6.226
-0.353,-0.18,0.964,-4.456,-6.042,-2.625
-0.358,-0.175,0.939,-8.484,-3.906,0.916
-0.361,-0.176,0.918,-9.888,-1.648,2.991
-0.362,-0.18,0.899,-9.583,0.488,3.54
-0.36,-0.188,0.886,-8.057,1.648,3.357
-0.357,-0.191,0.88,-5.493,1.648,2.014
-0.35,-0.191,0.877,-2.808,1.099,0.122
-0.349,-0.194,0.882,0.366,1.099,-1.77
-0.341,-0.2,0.901,2.93,1.587,-3.906
-0.32,-0.205,0.922,4.333,2.808,-5.371
-0.309,-0.201,0.933,3.967,3.54,-4.883
-0.308,-0.2,0.952,1.953,3.54,-2.563
-0.31,-0.201,0.953,-0.732,3.601,0.793
-0.319,-0.198,0.944,-1.526,4.7,3.113
-1.201,0.022,1.457,56.824,-327.576,4.7
-1.197,-0.015,1.495,51.758,-223.145,-5.615
-1.106,-0.074,1.443,41.565,-129.211,-20.874
-1.023,-0.147,1.329,29.602,-57.678,-36.438
-0.994,-0.174,1.288,19.836,-12.146,-48.95
-0.951,-0.191,1.347,10.01,17.883,-61.523
-0.884,-0.212,1.458,-6.287,50.659,-76.538
-0.71,-0.226,1.459,-31.86,93.872,-85.754
-0.656,-0.247,1.424,-53.955,147.217,-78.247
-0.646,-0.263,1.407,-62.866,214.539,-45.837
-0.694,-0.295,1.372,-61.523,299.927,-0.549
-0.672,-0.326,1.254,-49.011,398.865,42.847
-0.662,-0.281,1.136,-21.545,493.347,77.698
-0.602,-0.179,1.068,11.23,562.683,101.563
-0.488,-0.09,1.058,38.025,598.389,108.643
-0.404,-0.067,1.033,54.504,616.089,95.093
-0.222,-0.082,1.039,55.969,633.667,71.472
-0.058,-0.149,0.999,54.871,648.56,52.612
0.12,-0.188,0.906,58.716,670.837,53.406
0.221,-0.156,0.784,77.576,703.979,73.792
0.313,-0.087,0.713,103.577,730.652,100.769
0.367,-0.096,0.682,122.925,732.361,115.356
0.471,-0.108,0.628,127.136,702.637,112.732
0.521,-0.14,0.436,125.427,641.907,90.759
0.61,-0.144,0.213,132.874,576.66,58.228
0.598,-0.116,0.063,148.987,537.903,31.982
0.694,-0.112,0.026,150.391,533.691,21.851
0.677,-0.109,-0.065,149.292,518.921,13.794
0.714,-0.057,-0.197,144.165,483.826,11.108
0.815,-0.073,-0.238,122.131,439.148,8.728
0.755,-0.087,-0.343,107.544,367.249,-8.667
0.789,-0.065,-0.428,92.896,289.734,-2.136
0.805,-0.126,-0.522,75.012,230.469,18.005
0.783,-0.154,-0.554,66.467,180.786,22.217
0.769,-0.158,-0.524,64.148,128.113,13.611
0.739,-0.165,-0.514,59.204,59.631,-3.601
0.741,-0.168,-0.473,42.847,-9.888,-25.391
0.774,-0.211,-0.425,18.982,-69.092,-47.424
0.797,-0.253,-0.374,-7.202,-122.07,-66.04
0.871,-0.31,-0.306,-35.583,-176.147,-77.515
0.918,-0.335,-0.275,-59.875,-238.037,-85.999
0.961,-0.297,-0.217,-85.083,-303.406,-87.158
1.021,-0.298,-0.139,-116.577,-365.845,-80.444
0.955,-0.296,-0.053,-152.649,-430.359,-78.674
0.935,-0.26,0.036,-183.105,-499.146,-71.106
0.875,-0.263,0.093,-210.205,-565.308,-63.782
0.769,-0.256,0.127,-224.06,-623.84,-64.087
0.703,-0.22,0.16,-223.328,-671.875,-65.674
0.62,-0.221,0.195,-215.698,-702.515,-71.228
0.534,-0.257,0.262,-195.312,-706.604,-72.021
0.451,-0.302,0.362,-167.969,-688.477,-65.063
0.376,-0.306,0.464,-145.935,-668.579,-52.063
0.26,-0.277,0.529,-129.395,-660.889,-35.095
0.107,-0.239,0.588,-112.976,-664.795,-17.273
-0.062,-0.168,0.658,-100.22,-672.424,-0.916
-0.287,-0.107,0.764,-88.013,-677.124,12.817
-0.583,-0.101,0.924,-62.805,-664.551,16.235
-0.897,-0.035,1.143,-23.804,-612.244,0.549
-1.005,0.073,1.312,12.878,-512.451,-35.4
-0.934,0.147,1.365,36.316,-383.057,-77.393
-0.835,0.12,1.317,42.664,-252.686,-98.999
-0.718,0.015,1.234,39.673,-151.855,-93.079
-0.624,-0.089,1.147,35.706,-92.834,-70.862
-0.582,-0.14,1.106,32.593,-64.209,-46.997
-0.539,-0.135,1.096,23.499,-57.312,-25.146
-0.53,-0.115,1.067,7.507,-67.688,-11.353
-0.545,-0.107,1.017,-10.742,-84.412,-4.272
-0.547,-0.119,0.961,-25.391,-96.069,2.625
-0.562,-0.138,0.909,-32.104,-100.891,9.644
-0.581,-0.168,0.88,-28.931,-99.304,14.832
-0.612,-0.196,0.885,-16.541,-89.905,17.7
-0.648,-0.19,0.921,1.648,-71.045,16.785
-0.669,-0.142,0.969,17.09,-43.274,8.789
-0.654,-0.106,0.979,23.315,-9.277,-2.502
-0.606,-0.131,0.95,21.301,22.766,-10.315
-0.533,-0.187,0.913,17.029,47.302,-11.414
-0.469,-0.223,0.89,16.052,62.378,-6.409
-0.418,-0.251,0.892,18.677,69.214,2.808
-0.398,-0.266,0.912,19.287,70.557,13.855
-0.388,-0.266,0.928,19.531,68.542,24.292
-0.385,-0.266,0.934,21.362,64.514,30.09
-0.391,-0.264,0.94,22.888,61.584,31.311
-0.409,-0.245,0.967,24.475,57.556,28.931
-0.424,-0.229,0.994,23.743,52.551,23.132
-0.414,-0.224,0.998,20.935,49.133,14.587
-0.418,-0.235,0.995,17.212,46.448,6.287
-0.387,-0.226,0.975,12.207,47.119,0
-0.361,-0.229,0.953,7.324,49.438,-6.104
-0.331,-0.233,0.925,3.967,47.424,-10.864
-0.322,-0.23,0.892,0.366,41.382,-11.719
-0.3,-0.217,0.868,-2.38,34.058,-9.399
-0.309,-0.216,0.851,-3.723,23.987,-7.385
-0.321,-0.215,0.839,-4.272,11.23,-5.92
-0.325,-0.212,0.826,-4.883,1.77,-4.272
-0.338,-0.197,0.809,-1.953,-2.686,-4.639
-0.337,-0.18,0.809,3.357,-3.418,-5.31
-0.34,-0.177,0.819,9.216,-2.136,-4.578
-0.349,-0.186,0.839,15.137,-0.427,-2.502
-0.368,-0.198,0.869,20.752,1.099,-0.61
-0.393,-0.192,0.922,25.024,2.563,0
-0.39,-0.192,0.956,25.452,5.249,-1.404
-0.376,-0.212,0.978,18.494,9.338,-3.906
-0.356,-0.224,0.977,8.423,9.766,-4.7
-0.346,-0.227,0.962,-0.122,5.249,-3.357
-0.35,-0.22,0.94,-6.775,-1.038,-2.441
-0.36,-0.211,0.918,-11.536,-5.432,-1.831
-0.37,-0.21,0.886,-13.611,-7.446,-0.977
-0.375,-0.208,0.867,-12.39,-6.897,-0.854
-0.371,-0.208,0.86,-8.606,-4.333,-1.038
-0.366,-0.21,0.86,-3.601,0.061,-0.488
-0.353,-0.211,0.864,1.343,4.639,0.732
-0.346,-0.22,0.867,5.615,8.667,2.075
-0.337,-0.233,0.868,10.315,12.146,4.517
-0.33,-0.235,0.886,14.771,15.137,6.714
-0.332,-0.239,0.909,17.09,17.517,8.85
-0.338,-0.238,0.937,16.724,19.531,10.193
-0.342,-0.232,0.948,13.611,21.057,9.888
-0.344,-0.235,0.944,8.362,21.545,9.094
-0.347,-0.237,0.93,3.662,19.775,8.118
-1.015,0.184,1.352,-27.893,-194.58,-22.705
-1.009,0.178,1.257,-37.415,-100.159,-48.828
-0.938,0.164,1.152,-42.358,-13.55,-57.922
-0.844,0.149,1.04,-36.438,54.565,-53.711
-0.801,0.139,1.038,-17.334,124.695,-38.269
-0.822,0.112,1.11,9.338,212.097,-13.428
-0.747,0.071,1.148,37.842,321.838,11.414
-0.684,0.04,1.12,70.74,439.514,35.889
-0.569,0.051,1.098,102.417,539.307,62.378
-0.481,0.048,1.068,129.517,600.342,80.078
-0.371,0.04,1.089,142.517,621.399,82.764
-0.256,0.032,1.142,131.531,607.544,71.594
-0.063,-0.018,1.13,101.563,572.144,46.204
0.122,-0.106,1.015,73.547,548.401,20.203
0.196,-0.172,0.897,76.111,553.345,16.479
0.276,-0.186,0.813,108.521,586.426,38.574
0.382,-0.117,0.746,151.428,631.226,67.444
0.321,-0.05,0.733,195.862,672.729,85.022
0.335,-0.013,0.687,220.581,710.144,94.849
0.371,0.018,0.563,228.271,718.811,91.248
0.491,0.039,0.407,224.426,692.261,72.998
0.589,0.044,0.282,211.304,647.827,48.584
0.713,-0.035,0.213,188.416,599.854,31.555
0.758,-0.16,0.139,168.884,554.016,20.081
0.848,-0.189,0.025,153.015,513.916,20.63
0.92,-0.177,-0.017,126.282,476.807,33.447
0.832,-0.254,-0.151,110.84,416.504,26.306
0.823,-0.135,-0.23,99.67,343.079,11.597
0.9,-0.134,-0.335,79.285,291.138,29.175
0.877,-0.191,-0.424,55.664,237.671,40.649
0.833,-0.143,-0.45,44.189,176.453,37.598
0.749,-0.103,-0.429,37.72,116.394,26.611
0.703,-0.124,-0.385,29.541,79.529,15.381
0.686,-0.127,-0.374,22.095,61.462,1.709
0.7,-0.115,-0.393,18.188,44.434,-16.663
0.736,-0.103,-0.413,15.32,23.621,-35.828
0.788,-0.121,-0.426,13.611,-0.427,-51.27
0.823,-0.158,-0.414,10.864,-24.963,-64.026
0.888,-0.218,-0.373,4.395,-53.65,-71.045
0.94,-0.307,-0.331,-12.939,-92.285,-74.585
0.998,-0.364,-0.276,-39.429,-141.602,-75.562
1.036,-0.389,-0.236,-73.425,-204.407,-71.472
1.054,-0.387,-0.208,-108.154,-272.949,-61.829
1.063,-0.363,-0.158,-143.921,-343.201,-52.185
1.039,-0.312,-0.098,-178.589,-423.401,-48.584
0.993,-0.248,-0.024,-212.097,-508.85,-49.744
0.898,-0.21,0.029,-242.92,-590.027,-54.565
0.806,-0.181,0.084,-263.245,-657.41,-60.425
0.672,-0.201,0.095,-262.085,-698.608,-63.538
0.568,-0.199,0.134,-235.596,-700.562,-65.918
