aX,aY,aZ,gX,gY,gZ
0.12,-0.815,0.456,-43.274,165.405,-502.075
0.426,-0.979,0.651,-29.846,140.991,-475.159
0.597,-1.049,0.93,-28.442,97.961,-435.486
0.662,-1.105,1.138,-39.246,61.523,-389.709
0.573,-1.117,1.245,-53.528,47.729,-334.473
0.548,-1.1,1.236,-67.871,63.599,-275.085
0.578,-1.017,1.16,-86.365,85.083,-224.06
0.54,-0.876,1.016,-101.99,75.745,-180.847
0.416,-0.729,0.83,-106.445,42.664,-139.465
0.268,-0.62,0.669,-92.346,19.897,-100.464
0.153,-0.541,0.553,-59.509,17.7,-66.101
0.096,-0.477,0.501,-19.165,20.752,-37.537
0.101,-0.448,0.505,16.235,15.991,-16.846
0.122,-0.466,0.523,40.771,0.61,-0.061
0.17,-0.526,0.573,63.171,-17.578,16.724
0.296,-0.585,0.651,86.914,-27.283,36.865
0.447,-0.642,0.732,106.14,-28.564,68.176
0.553,-0.69,0.799,122.192,-27.771,111.084
0.524,-0.729,0.846,138,-30.579,160.828
0.383,-0.752,0.842,158.936,-28.564,209.778
0.281,-0.75,0.837,183.533,-9.46,245.667
0.234,-0.729,0.866,203.491,12.817,264.282
0.186,-0.694,0.883,213.867,16.113,274.109
0.151,-0.659,0.894,212.219,0.183,279.663
0.135,-0.625,0.883,200.867,-23.743,280.212
0.124,-0.602,0.859,185.181,-51.331,278.198
0.152,-0.622,0.833,167.908,-82.703,276.855
0.205,-0.675,0.827,149.109,-118.103,279.968
0.283,-0.733,0.879,125.305,-152.588,290.527
0.252,-0.841,0.953,92.712,-191.772,297.852
0.132,-0.811,0.958,51.758,-238.708,303.162
-0.013,-0.73,0.874,8.484,-278.442,311.646
-0.138,-0.655,0.78,-25.513,-306.824,319.702
-0.276,-0.587,0.707,-42.236,-321.106,320.312
-0.375,-0.519,0.699,-38.452,-307.495,314.819
-0.452,-0.473,0.749,-24.231,-264.038,303.772
-0.472,-0.473,0.807,0.122,-199.768,287.781
-0.428,-0.455,0.899,27.222,-130.798,269.47
-0.373,-0.422,0.976,43.762,-75.928,249.39
-0.34,-0.404,1.042,46.509,-45.044,228.271
-0.311,-0.376,1.093,35.034,-34.851,208.313
-0.319,-0.354,1.126,14.282,-34.912,187.561
-0.326,-0.34,1.148,-9.155,-34.79,164.368
-0.333,-0.32,1.153,-29.907,-30.029,138.55
-0.34,-0.332,1.122,-44.373,-22.4,109.863
-0.332,-0.327,1.063,-52.734,-15.137,77.759
-0.334,-0.299,0.999,-53.406,-13.977,41.504
-0.245,-0.281,0.908,-53.65,-16.296,9.827
-0.229,-0.318,0.857,-54.382,-19.836,-22.522
-0.195,-0.325,0.83,-47.119,-26.672,-49.561
-0.128,-0.327,0.832,-39.612,-31.982,-60.181
-0.077,-0.396,0.857,-33.936,-31.616,-62.378
0.762,-1.395,1.289,-151.245,-66.162,-551.697
0.856,-1.533,1.218,-123.413,-36.011,-452.698
1.005,-1.537,1.15,-79.346,42.542,-339.233
0.97,-1.387,1.021,-40.1,91.736,-227.112
0.714,-1.162,0.84,-21.79,96.252,-123.23
0.396,-0.945,0.631,-10.742,85.205,-40.222
0.126,-0.757,0.485,7.874,75.439,10.803
-0.03,-0.696,0.385,20.691,62.805,37.109
-0.063,-0.736,0.34,23.254,40.955,44.25
-0.036,-0.797,0.353,28.442,12.024,40.588
0.094,-0.869,0.42,39.063,-14.587,39.795
0.276,-0.932,0.486,53.223,-32.654,49.561
0.45,-0.949,0.55,67.444,-45.41,74.829
0.573,-0.949,0.605,81.177,-55.908,116.699
0.651,-0.941,0.646,92.285,-64.27,170.837
0.66,-0.928,0.677,103.882,-74.646,228.088
0.586,-0.895,0.62,120.667,-91.553,282.715
0.495,-0.893,0.609,137.817,-109.009,332.275
0.418,-0.901,0.626,157.471,-129.517,379.822
0.265,-0.957,0.645,176.025,-155.945,418.152
0.086,-1.012,0.667,184.204,-181.274,444.702
-0.068,-0.959,0.699,172.607,-208.313,458.862
-0.27,-0.869,0.735,146.24,-236.938,470.032
-0.418,-0.827,0.802,109.009,-255.249,484.07
-0.486,-0.836,0.893,67.017,-254.333,491.882
-0.541,-0.804,0.996,33.752,-238.22,486.572
-0.589,-0.775,1.101,10.62,-213.074,468.079
-0.689,-0.744,1.159,-7.019,-181.519,439.209
-0.672,-0.673,1.14,-15.076,-145.752,399.048
-0.729,-0.569,1.132,-11.597,-111.938,336.67
-0.735,-0.43,1.123,-10.925,-89.905,279.541
-0.671,-0.347,1.106,-23.437,-81.299,239.197
-0.643,-0.319,1.057,-40.955,-84.045,203.491
-0.601,-0.311,1.017,-53.711,-91.003,170.349
-0.576,-0.281,0.991,-58.716,-96.924,142.456
-0.555,-0.252,0.977,-58.472,-98.694,117.737
-0.541,-0.242,0.997,-53.772,-93.628,96.252
-0.529,-0.235,1.024,-44.617,-83.984,78.979
-0.574,-0.21,1.069,-33.447,-71.96,63.171
-0.665,-0.191,1.16,-22.766,-54.871,48.218
-0.77,-0.169,1.282,-14.526,-29.358,29.48
-0.819,-0.152,1.312,-9.094,5.493,-0.427
-0.827,-0.134,1.287,-13.611,42.603,-38.269
-0.897,-0.133,1.251,-25.269,66.101,-79.163
-0.917,-0.108,1.211,-37.659,71.594,-122.437
-0.85,-0.099,1.128,-50.659,67.871,-176.636
-0.793,-0.094,1.068,-67.017,55.664,-232.483
-0.771,-0.089,1.023,-84.229,34.546,-278.687
-0.749,-0.116,1.001,-94.788,20.813,-315.918
-0.74,-0.151,0.965,-93.567,27.588,-352.234
-0.741,-0.182,0.932,-84.106,54.077,-384.399
-0.682,-0.284,0.882,-69.214,88.989,-408.386
-0.484,-0.475,0.874,-55.969,117.554,-422.18
-0.233,-0.641,0.955,-55.115,129.028,-423.34
-0.115,-0.739,1.058,-66.406,124.329,-414.795
-0.087,-0.803,1.016,-78.247,121.643,-401.978
-0.096,-0.869,0.909,-90.027,133.85,-388.672
-0.044,-0.87,0.726,-88.745,149.597,-380.188
0.008,-0.798,0.585,-73.425,153.748,-373.413
0.079,-0.747,0.505,-55.054,146.606,-364.258
0.089,-0.703,0.455,-37.476,127.38,-356.14
0.15,-0.659,0.463,-18.555,97.839,-349.609
0.182,-0.626,0.561,-7.874,58.655,-338.196
0.158,-0.637,0.66,-3.54,17.029,-319.702
0.18,-0.702,0.709,3.723,-8.301,-294.739
0.373,-0.808,0.793,21.179,-19.165,-267.822
0.583,-0.859,0.951,37.72,-25.452,-228.943
0.725,-0.942,1.096,48.462,-30.151,-174.255
0.816,-1.029,1.182,51.758,-27.466,-103.088
0.79,-1.035,1.167,48.706,-13.489,-24.841
0.683,-0.967,1.091,40.466,8.545,50.354
0.51,-0.863,0.989,28.015,27.405,113.77
0.34,-0.746,0.84,20.691,34.485,155.945
0.242,-0.63,0.707,21.423,30.762,177.185
