aX,aY,aZ,gX,gY,gZ
-0.508,-1.429,1.787,257.751,105.53,110.046
-0.558,-1.442,1.558,183.655,62.378,85.938
-0.589,-1.507,1.438,116.272,14.282,47.363
-0.537,-1.61,1.47,66.528,-9.46,6.775
-0.384,-1.707,1.622,34.119,-23.865,-24.048
-0.18,-1.766,1.87,-2.991,-27.283,-31.128
0.013,-1.723,2.136,-53.711,-16.418,-10.742
0.102,-1.647,2.321,-119.385,9.644,26.184
0.089,-1.557,2.381,-193.726,59.265,68.115
0.007,-1.437,2.312,-270.813,129.028,108.582
-0.125,-1.332,2.124,-346.069,202.759,144.592
-0.266,-1.21,1.791,-406.311,255.188,173.523
-0.402,-1.113,1.448,-453.308,278.748,188.232
-0.51,-1.017,1.074,-489.624,277.1,187.256
-0.455,-0.866,0.767,-512.39,254.761,170.959
-0.316,-0.735,0.57,-527.649,219.788,147.339
-0.198,-0.615,0.463,-533.325,180.542,129.883
-0.101,-0.525,0.428,-531.982,149.658,118.958
-0.007,-0.444,0.412,-525.879,131.836,110.596
0.067,-0.374,0.387,-516.052,123.291,104.431
0.151,-0.303,0.339,-505.066,121.948,101.563
0.155,-0.238,0.306,-488.647,120.605,101.624
0.164,-0.147,0.244,-467.59,118.225,100.891
0.206,-0.073,0.103,-440.063,116.638,94.421
0.222,0.048,-0.058,-397.583,111.023,89.783
0.24,0.216,-0.185,-349.365,97.778,90.393
0.251,0.328,-0.282,-305.481,76.477,89.172
0.258,0.42,-0.346,-267.822,45.471,85.144
0.277,0.488,-0.365,-233.887,7.446,79.651
0.267,0.506,-0.355,-204.651,-32.593,74.097
0.25,0.506,-0.306,-175.537,-69.336,70.374
0.198,0.505,-0.228,-147.034,-93.994,66.101
0.132,0.445,-0.151,-118.347,-98.267,58.96
0.093,0.41,-0.124,-80.627,-86.182,47.974
0.068,0.442,-0.129,-35.706,-65.552,31.189
0.078,0.484,-0.144,6.897,-44.312,12.939
0.083,0.467,-0.172,46.692,-30.151,-1.282
0.107,0.454,-0.221,91.064,-28.748,-13.062
0.142,0.517,-0.23,140.991,-43.945,-26.611
0.147,0.539,-0.179,180.603,-69.397,-38.574
0.112,0.452,-0.181,212.708,-98.511,-44.373
0.079,0.442,-0.245,259.888,-135.864,-52.002
0.023,0.493,-0.276,321.289,-181.213,-69.946
-0.118,0.409,-0.285,379.456,-229.614,-92.346
-0.287,0.213,-0.231,440.063,-276.428,-114.197
-0.468,-0.072,-0.184,508.118,-308.044,-136.536
-0.606,-0.4,-0.147,586.609,-313.843,-157.104
-0.694,-0.733,-0.093,655.884,-300.293,-171.326
-0.8,-1.096,-0.01,706.665,-277.161,-176.27
-0.783,-1.437,0.248,736.877,-249.023,-177.551
-0.451,-1.723,0.756,734.314,-217.163,-175.903
-0.008,-1.772,1.322,690.247,-186.462,-161.499
0.133,-1.618,1.662,622.681,-180.603,-123.047
0.015,-1.502,1.86,541.87,-191.101,-65.674
-0.133,-1.477,1.893,463.013,-173.035,-15.503
-0.215,-1.462,1.756,407.471,-117.31,7.69
-0.291,-1.423,1.564,375.305,-55.115,15.869
-0.338,-1.388,1.375,353.149,-14.343,24.475
-0.404,-1.367,1.235,328.918,2.991,31.311
-0.434,-1.378,1.194,298.523,10.864,31.738
-0.555,-1.422,1.171,273.01,-2.258,15.076
-0.51,-1.432,1.238,234.314,-19.775,0.183
-0.394,-1.469,1.377,182.495,-37.659,-12.451
-0.285,-1.469,1.495,123.108,-58.655,-18.127
-0.204,-1.456,1.56,64.88,-73.181,-13.184
-0.199,-1.416,1.565,14.221,-67.81,-3.052
